"Soort mutaties";"Perioden";"Opbouw bbp vanuit de finale bestedingen/Beschikbaar voor finale bestedingen/Bruto binnenlands product (%)"
"Volume, t.o.v. voorgaande periode";"1996 3e kwartaal";"     1.4"
"Volume, t.o.v. voorgaande periode";"1996 4e kwartaal";"     0.7"
"Volume, t.o.v. voorgaande periode";"1997 1e kwartaal";"     1.1"
"Volume, t.o.v. voorgaande periode";"1997 2e kwartaal";"     1.0"
"Volume, t.o.v. voorgaande periode";"1997 3e kwartaal";"     1.5"
"Volume, t.o.v. voorgaande periode";"1997 4e kwartaal";"     1.3"
"Volume, t.o.v. voorgaande periode";"1998 1e kwartaal";"     1.3"
"Volume, t.o.v. voorgaande periode";"1998 2e kwartaal";"     0.7"
"Volume, t.o.v. voorgaande periode";"1998 3e kwartaal";"     0.9"
"Volume, t.o.v. voorgaande periode";"1998 4e kwartaal";"     0.9"
"Volume, t.o.v. voorgaande periode";"1999 1e kwartaal";"     1.7"
"Volume, t.o.v. voorgaande periode";"1999 2e kwartaal";"     1.1"
"Volume, t.o.v. voorgaande periode";"1999 3e kwartaal";"     1.4"
"Volume, t.o.v. voorgaande periode";"1999 4e kwartaal";"     1.4"
"Volume, t.o.v. voorgaande periode";"2000 1e kwartaal";"     0.6"
"Volume, t.o.v. voorgaande periode";"2000 2e kwartaal";"     1.1"
"Volume, t.o.v. voorgaande periode";"2000 3e kwartaal";"     0.8"
"Volume, t.o.v. voorgaande periode";"2000 4e kwartaal";"     1.3"
"Volume, t.o.v. voorgaande periode";"2001 1e kwartaal";"     0.1"
"Volume, t.o.v. voorgaande periode";"2001 2e kwartaal";"     0.5"
"Volume, t.o.v. voorgaande periode";"2001 3e kwartaal";"     0.2"
"Volume, t.o.v. voorgaande periode";"2001 4e kwartaal";"     0.3"
"Volume, t.o.v. voorgaande periode";"2002 1e kwartaal";"    -0.6"
"Volume, t.o.v. voorgaande periode";"2002 2e kwartaal";"     0.3"
"Volume, t.o.v. voorgaande periode";"2002 3e kwartaal";"     0.2"
"Volume, t.o.v. voorgaande periode";"2002 4e kwartaal";"     0.1"
"Volume, t.o.v. voorgaande periode";"2003 1e kwartaal";"     0.0"
"Volume, t.o.v. voorgaande periode";"2003 2e kwartaal";"    -0.3"
"Volume, t.o.v. voorgaande periode";"2003 3e kwartaal";"     0.1"
"Volume, t.o.v. voorgaande periode";"2003 4e kwartaal";"     0.5"
"Volume, t.o.v. voorgaande periode";"2004 1e kwartaal";"     0.9"
"Volume, t.o.v. voorgaande periode";"2004 2e kwartaal";"     0.5"
"Volume, t.o.v. voorgaande periode";"2004 3e kwartaal";"     0.1"
"Volume, t.o.v. voorgaande periode";"2004 4e kwartaal";"     0.2"
"Volume, t.o.v. voorgaande periode";"2005 1e kwartaal";"     0.3"
"Volume, t.o.v. voorgaande periode";"2005 2e kwartaal";"     0.7"
"Volume, t.o.v. voorgaande periode";"2005 3e kwartaal";"     1.3"
"Volume, t.o.v. voorgaande periode";"2005 4e kwartaal";"     0.6"
