"Bestedingscategorieën";"Kenmerken huishoudens";"Perioden";"Gemiddeld besteed bedrag (1 000 euro)"
"000000 Alle bestedingen";"Besteedbaar inkomen: 1e 10%-groep";"2020*";"    19.6"
"000000 Alle bestedingen";"Besteedbaar inkomen: 2e 10%-groep";"2020*";"    20.8"
"000000 Alle bestedingen";"Besteedbaar inkomen: 3e 10%-groep";"2020*";"    23.9"
"000000 Alle bestedingen";"Besteedbaar inkomen: 4e 10%-groep";"2020*";"    28.0"
"000000 Alle bestedingen";"Besteedbaar inkomen: 5e 10%-groep";"2020*";"    31.1"
"000000 Alle bestedingen";"Besteedbaar inkomen: 6e 10%-groep";"2020*";"    34.7"
"000000 Alle bestedingen";"Besteedbaar inkomen: 7e 10%-groep";"2020*";"    39.3"
"000000 Alle bestedingen";"Besteedbaar inkomen: 8e 10%-groep";"2020*";"    44.0"
"000000 Alle bestedingen";"Besteedbaar inkomen: 9e 10%-groep";"2020*";"    49.9"
"000000 Alle bestedingen";"Besteedbaar inkomen: 10e 10%-groep";"2020*";"    61.9"
