"Consumptieve bestedingen";"Perioden";"Waarde/Indexcijfers (2015=100)"
"Binnenlandse consumptie huishoudens";"2000 januari";"    72.0"
"Binnenlandse consumptie huishoudens";"2000 februari";"    69.7"
"Binnenlandse consumptie huishoudens";"2000 maart";"    74.5"
"Binnenlandse consumptie huishoudens";"2000 april";"    72.3"
"Binnenlandse consumptie huishoudens";"2000 mei";"    74.2"
"Binnenlandse consumptie huishoudens";"2000 juni";"    72.6"
"Binnenlandse consumptie huishoudens";"2000 juli";"    71.6"
"Binnenlandse consumptie huishoudens";"2000 augustus";"    71.6"
"Binnenlandse consumptie huishoudens";"2000 september";"    72.8"
"Binnenlandse consumptie huishoudens";"2000 oktober";"    72.5"
"Binnenlandse consumptie huishoudens";"2000 november";"    73.2"
"Binnenlandse consumptie huishoudens";"2000 december";"    76.2"
"Binnenlandse consumptie huishoudens";"2001 januari";"    75.6"
"Binnenlandse consumptie huishoudens";"2001 februari";"    72.0"
"Binnenlandse consumptie huishoudens";"2001 maart";"    78.7"
"Binnenlandse consumptie huishoudens";"2001 april";"    75.0"
"Binnenlandse consumptie huishoudens";"2001 mei";"    78.8"
"Binnenlandse consumptie huishoudens";"2001 juni";"    77.2"
"Binnenlandse consumptie huishoudens";"2001 juli";"    75.3"
"Binnenlandse consumptie huishoudens";"2001 augustus";"    76.0"
"Binnenlandse consumptie huishoudens";"2001 september";"    76.0"
"Binnenlandse consumptie huishoudens";"2001 oktober";"    77.4"
"Binnenlandse consumptie huishoudens";"2001 november";"    78.0"
"Binnenlandse consumptie huishoudens";"2001 december";"    79.4"
"Binnenlandse consumptie huishoudens";"2002 januari";"    80.1"
"Binnenlandse consumptie huishoudens";"2002 februari";"    75.6"
"Binnenlandse consumptie huishoudens";"2002 maart";"    82.0"
"Binnenlandse consumptie huishoudens";"2002 april";"    79.1"
"Binnenlandse consumptie huishoudens";"2002 mei";"    82.5"
"Binnenlandse consumptie huishoudens";"2002 juni";"    80.1"
"Binnenlandse consumptie huishoudens";"2002 juli";"    79.4"
"Binnenlandse consumptie huishoudens";"2002 augustus";"    79.7"
"Binnenlandse consumptie huishoudens";"2002 september";"    78.8"
"Binnenlandse consumptie huishoudens";"2002 oktober";"    81.5"
