"Inkomensbegrippen";"Inkomensklassen";"Kenmerken van huishoudens";"Perioden";"Gemiddeld inkomen (1 000 euro)"
"Besteedbaar inkomen";"Inkomen: 1e 10%-groep (laag inkomen)";"Particuliere huishoudens";"2020*";"    10.3"
"Besteedbaar inkomen";"Inkomen: 2e 10%-groep";"Particuliere huishoudens";"2020*";"    19.5"
"Besteedbaar inkomen";"Inkomen: 3e 10%-groep";"Particuliere huishoudens";"2020*";"    24.3"
"Besteedbaar inkomen";"Inkomen: 4e 10%-groep";"Particuliere huishoudens";"2020*";"    29.3"
"Besteedbaar inkomen";"Inkomen: 5e 10%-groep";"Particuliere huishoudens";"2020*";"    34.9"
"Besteedbaar inkomen";"Inkomen: 6e 10%-groep";"Particuliere huishoudens";"2020*";"    41.7"
"Besteedbaar inkomen";"Inkomen: 7e 10%-groep";"Particuliere huishoudens";"2020*";"    49.8"
"Besteedbaar inkomen";"Inkomen: 8e 10%-groep";"Particuliere huishoudens";"2020*";"    59.1"
"Besteedbaar inkomen";"Inkomen: 9e 10%-groep";"Particuliere huishoudens";"2020*";"    71.8"
"Besteedbaar inkomen";"Inkomen: 10e 10%-groep (hoog inkomen)";"Particuliere huishoudens";"2020*";"   128.0"
