"Kenmerken van huishoudens";"Vermogensklassen";"Perioden";"Particuliere huishoudens (x 1 000)"
"Particuliere huishoudens";"Vermogen: tot -5 000 euro";"2018";"   949.8"
"Particuliere huishoudens";"Vermogen: -5 000 tot 0 euro";"2018";"   472.0"
"Particuliere huishoudens";"Vermogen: 0 tot 1 000 euro";"2018";"   422.1"
"Particuliere huishoudens";"Vermogen 1 000 tot 5 000 euro";"2018";"   637.9"
"Particuliere huishoudens";"Vermogen: 5 000 tot 10 000 euro";"2018";"   359.0"
"Particuliere huishoudens";"Vermogen: 10 000 tot 20 000 euro";"2018";"   470.3"
"Particuliere huishoudens";"Vermogen: 20 000 tot 50 000 euro";"2018";"   780.0"
"Particuliere huishoudens";"Vermogen: 50 000 tot 100 000 euro";"2018";"   708.5"
"Particuliere huishoudens";"Vermogen: 100 000 tot 200 000 euro";"2018";"   985.1"
"Particuliere huishoudens";"Vermogen: 200 000 tot 500 000 euro";"2018";"  1333.9"
"Particuliere huishoudens";"Vermogen: 500 000 tot 1 miljoen euro";"2018";"   410.6"
"Particuliere huishoudens";"Vermogen: 1 miljoen euro of meer";"2018";"   231.3"
