sim_nr,ψ_E,μ1,κ_upper,ω,ϵ,α_cp,p_f,prog
1876,0.046392317919984265,0.2952256693090081,0.03712352545308673,0.9240065272912218,0.0883766646170237,0.880833257270634,0.12064950630666035,0.652401139422532
1877,0.01726189075091969,0.17583472943921463,0.038236359879890096,0.9937313028101069,0.01789958747713786,0.6715637265843271,0.6132319277898222,-0.049271222273319815
1878,0.09306674114974227,0.23457140016141703,0.043161171201533705,0.10954372235631615,0.07402618886318395,0.9000716192294234,0.3472876842461333,0.02661665922160994
1879,0.08683533788099868,0.31168244782258375,0.004593291971356294,0.4767759736598282,0.09356439618406147,0.6151604865717983,0.4182736639901891,0.42091897782903676
1880,0.09711862563182933,0.4921107456642585,0.03601001463431037,0.05228124715645146,0.018877162396131773,0.6216232059642237,0.08831862527481495,0.987345014523471
1881,0.06378531074228344,0.45879457361147186,0.027375868379196047,0.5233522759486825,0.09441651356239077,0.794271093430257,0.5402499091709159,-0.1385682773265109
1882,0.0988536205749444,0.4095770694546544,0.008935289452099286,0.7004941207776999,0.07561264080945053,0.46111959093204286,0.1839241312010444,0.40719403655734476
1883,0.021895242482021446,0.3419169935875306,0.023129981043694056,0.7494724226633053,0.08183533240643553,0.6562564035659275,0.2044015310861664,0.7741268138971322
1884,0.028059182227414933,0.15809943481953098,0.0003509406545431995,0.2918639517009616,0.06977289335187485,0.9470030305622559,0.468282573291777,0.1664744611444211
1885,0.03199387581446079,0.02305768219695433,0.007705009158701043,0.2871445859156504,0.09956441889515052,0.7203551621676163,0.567888577236275,-0.21346331770018356
1886,0.02703120972353862,0.2465290038192531,0.03020952405210949,0.7843064351164747,0.08944504760462192,0.5028545571328205,0.5294687000737165,0.9961227161723163
1887,0.08295777105536033,0.26422669649176256,0.02835996800093187,0.6373858127982969,0.06355463238395531,0.5866470467723478,0.15088045157519492,-0.7246955304918343
1888,0.06071056629406868,0.2232302516260219,0.02421511533034712,0.6542831912173801,0.016900750959981926,0.5702544035073445,0.37861299270609433,-0.14005522244695345
1889,0.03344493174180371,0.47570628137444465,0.042420588230068154,0.7651356096372897,0.012456207696129974,0.4765395840027867,0.5870828573496779,-0.5016201632237749
1890,0.007947552601867667,0.1852193694059272,0.0139970743223208,0.7392055877548348,0.05655676943831035,0.6920886306240263,0.18590227641493137,-0.22965809000367832
1891,0.004475735397381744,0.42380223243834636,0.014295801742606288,0.4776918917722165,0.060223710267055836,0.5851644743396877,0.09738553251422129,-0.5198050896202883
1892,0.0698124243436561,0.38209162708003974,0.007323666294292814,0.9907668340018938,0.09827349714339967,0.4224066748811622,0.005652784422844045,0.5124760160573538
1893,0.05153247597313541,0.4265083917291282,0.0018558924049287392,0.8016803239263519,0.045671228943915225,0.49094133404007867,0.651493487190097,0.0523285226485517
1894,0.061000834275963416,0.33885720154833626,0.03476359351250412,0.880933632298174,0.08045792049994742,0.7252914909925842,0.4471377006791629,0.6781922924211525
1895,0.07316147699646293,0.01963060223184134,0.033642864720612155,0.4750058095615462,0.09503327121123714,0.4031299701849426,0.2309054174992873,-0.40687167961154913
1896,0.061950474895525555,0.1739124271310352,0.009843260808743239,0.8737540544463811,0.09674007106560449,0.6371317172917709,0.1264597084659045,0.9536748416288232
1897,0.025446669220037278,0.028726004024841444,0.043554155204963585,0.41938422029634037,0.034314334119925544,0.8750343497320291,0.05030348621804526,-0.8823291021527937
1898,0.023411089868727003,0.39435369558086725,0.029322349574894036,0.7072415801736117,0.08088269003269975,0.4646696646675318,0.1940284398291716,-0.23304122320211595
1899,0.0603723004564749,0.23113378622406905,0.006574791406887948,0.1334594891956692,0.047413799323684225,0.6761467987976932,0.25165449504570797,-0.13476726958703444
