all_I,all_w,all_W
70.0,0.7,2.3239024165551463
70.0,1.0,2.3240484135298516
70.0,0.7,2.3238913057070896
70.0,0.7,2.3238913057085924
70.0,0.7,2.3238913057069226
70.0,0.7,2.324006300070554
100.0,1.0,3.6205689561951218
70.0,0.7,2.323891305706912
70.0,0.7,2.3262146950038094
70.0,0.7,2.3238913060455566
70.0,0.7,2.792132866186865
70.0,0.7,2.3238913060455673
85.0,0.85,2.9608981560628855
70.0,0.7999999999999999,2.347061861978357
100.0,1.0,3.6592418949453585
80.0,0.7999999999999999,2.7459137074938376
70.0,0.7,2.3238913057069226
70.0,0.7,2.3238913197263606
70.0,0.7,2.3239001484663078
76.0,0.76,16.61880970456506
100.0,1.0,3.6205695546184185
70.0,0.7,3.2730766848815698
70.0,0.7,2.324188767119704
70.0,0.7,2.991607444147231
70.0,0.7,2.323891326804411
70.0,0.7288,2.323891341285421
70.0,0.7,2.323891305706912
70.0,0.7,2.3238913057069546
70.0,0.7,2.3250370440314327
70.0,0.7149999999999999,2.327452790820505
70.0,0.7,30.36137511004454
100.0,1.0,3.620568956195262
85.0,0.85,3.550569992081286
70.0,0.7749999999999999,2.3238931921452313
77.49999999999999,0.7749999999999999,2.639301694222585
70.0,0.7,2.3708759583172956
70.0,0.7,2.3239479581513365
100.0,1.0,5.069200227339103
70.0,0.7,2.3708759529402137
70.0,0.7,2.3238913057069617
70.0,0.7,2.347061861978357
70.0,0.7,2.323891319595351
70.0,0.7,3.5770023746426585
70.0,0.7,2.32389410695189
70.0,0.7,2.3250370440277415
70.0,0.7,2.3286522335495725
85.0,0.85,2.9609064447227063
70.0,0.7,2.792132866186865
70.0,0.7,2.323891305706912
70.0,0.7,2.323891444217665
70.0,0.8125,2.3240064645311236
76.0,0.76,2.5757055584354482
70.0,0.7,2.323891305706912
70.0,0.7,2.3238913057069226
70.0,0.76,2.323891305707374
70.0,0.7,3.2726371301049646
70.0,0.7,2.3238913057069084
100.0,1.0,3.6205689561974186
70.0,0.7,2.323891305706912
70.0,0.7,2.323947958151347
70.0,0.7,2.3238913062633344
70.0,0.7,2.3238913057069226
70.0,0.7,2.3325813359013843
70.0,0.7,2.3238913057069226
70.0,0.7,11.657224639040255
70.0,0.7,2.323891305706912
70.0,0.7,2.32389167270183
100.0,1.0,17.701126586024262
70.0,0.7,2.327097820614963
85.0,0.85,2.960906444744964
